Original order in ppt,"Source (Probe list, Patient)",Semantic  Category,Cog Status (Span/Cat),Palabra en English,Palabra en Castellano,Paraula en Català,Espal_NSYL,Espal_IMG,Espal_NLET,Espal_CON,Espal_FAM,ClearpondFrequency_PerMil_Esp,Coca_word Freq (Total) - Web/Dialects,COCA_full freq Eng,Clearpond_wordLength_orthographic_Eng,Clearpond_Lexical_Frequency_Eng,MRC Concreteness,MRC Familiarity,MRC Imigability,MRC N_of_Letters,MRC N_of_Syllables,CAT_SUBTLEX_NSYL,NIM_NLET,NIM_WordFreq_Relativa,NIM_WordFreq_Total_Absoluta
141.0,Probe List,clothing,1.0,Pijama,pijama,pijama,3.0,2.0,6.0,2.0,2.0,5.1683,3677.0,NA,6.0,NA,NA,NA,NA,6.0,3.0,3.0,6.0,2.45836,126.0
143.0,Probe List,profession/person,1.0,police,policía,policia,4.0,6.861,7.0,5.916,5.916,388.3173,235047.0,220863.0,6.0,236.1569,NA,NA,NA,7.0,2.0,4.0,7.0,36.9144,1892.0
148.0,Probe List,food/meal,2.0,Soup,sopa,sopa,2.0,6.227,4.0,6.164,6.164,25.8173,18087.0,NA,4.0,NA,NA,NA,NA,4.0,1.0,2.0,4.0,17.5207,898.0
150.0,Probe List,object,1.0,card,tarjeta,targeta,3.0,5.24,7.0,4.607,4.607,75.6731,89540.0,70486.0,4.0,85.4314,565.0,543.0,578.0,7.0,1.0,3.0,7.0,5.46302,280.0
154.0,Probe List,household item,1.0,Radiator,Radiador/estufa/calentador,Radiador,3.0,3.330666666666667,8.0,3.387333333333333,3.387333333333333,NA,NA,NA,8.0,NA,NA,NA,NA,8.0,3.0,NA,8.0,NA,NA
156.0,Probe List,transportation,1.0,sailboat,velero/barco,veler,2.5,4.1465,5.5,4.009,4.009,NA,NA,1192.0,8.0,1.6078,NA,NA,NA,5.5,2.0,2.0,5.0,5.71666,293.0
159.0,Probe List,food/veg,1.0,artichoke ,alcachofa,carxofa,4.0,2.0,9.0,2.0,2.0,0.86538,1342.0,NA,10.0,NA,NA,NA,NA,9.0,4.0,3.0,7.0,0.917008,47.0
161.0,Probe List,sports,1.0,basketball,bàsquet/baloncesto/básquebol,bàsquet,2.6666666666666665,3.424,8.666666666666666,3.5243333333333333,3.5243333333333333,NA,NA,39812.0,10.0,21.3922,NA,NA,NA,8.666666666666666,NA,2.0,7.0,1.46331,75.0
166.0,Probe List,person,1.0,child,niño,nen,2.0,6.39,4.0,6.177,6.177,268.8702,353335.0,242585.0,5.0,157.6471,581.0,585.0,619.0,4.0,1.0,1.0,3.0,77.3603,3965.0
168.0,Probe List,household item,1.0,hanger,percha/perchero/gancho,penjador,2.3333333333333335,4.497333333333334,6.666666666666667,4.339333333333333,4.339333333333333,NA,NA,1422.0,6.0,1.3529,NA,NA,NA,6.666666666666667,2.0,3.0,8.0,0.624346,32.0
171.0,Probe List,instrument,1.0,violin,violín,violí,2.0,6.398,6.0,6.321,6.321,4.5192,6698.0,4837.0,6.0,4.7451,626.0,468.0,606.0,6.0,3.0,3.0,5.0,10.77,552.0
173.0,Probe List,object,1.0,paddle,remo,rem,2.0,2.0,4.0,2.0,2.0,1.899,3200.0,3308.0,6.0,3.7451,NA,NA,NA,4.0,2.0,1.0,3.0,7.70677,395.0
